ID Number,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote
47,ILMN,"Illumina, Inc.",172.75,24081350000.00,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/ilmn
48,BRCM,Broadcom Corporation,40.38,23864580000.00,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/brcm
49,INTU,Intuit Inc.,83.99,23843662494.79,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/intu
50,WDC,Western Digital Corporation,99.89,23375375771.30,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/wdc
51,SNDK,SanDisk Corporation,98.97,22191940468.11,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/sndk
52,VRTX,Vertex Pharmaceuticals Incorporated,92.99,22139201753.67,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vrtx
53,AVGO,Avago Technologies Limited,87.85,22113353735.90,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
54,PCAR,PACCAR Inc.,60.14,21335788956.46,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/pcar
55,GMCR,"Keurig Green Mountain, Inc.",131.11,21295210041.70,1993,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/gmcr
56,LVNTB,Liberty Interactive Corporation,39.8,21122605334.60,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvntb
57,TROW,"T. Rowe Price Group, Inc.",79.52,20918019806.88,1986,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/trow
58,MAR,Marriott International,70.62,20520045914.28,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mar
59,SIRI,Sirius XM Holdings Inc.,3.605,20447115485.48,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/siri
60,CERN,Cerner Corporation,58.75,20036906872.50,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
61,STX,Seagate Technology.,61.01,19891422560.46,2002,Technology,Electronic Components,http://www.nasdaq.com/symbol/stx
62,WYNN,"Wynn Resorts, Limited",182.53,18499113230.32,2002,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/wynn
63,MYL,Mylan Inc.,47.06,17602667867.46,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl
64,LMCB,Liberty Media Corporation,50.5,17321468942.50,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmcb
65,CHTR,"Charter Communications, Inc.",159.1,17285399930.70,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr
66,ISRG,"Intuitive Surgical, Inc.",480.73,17283014590.92,2000,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/isrg
67,FITB,Fifth Third Bancorp,20.645,17222765678.35,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
68,VOD,Vodafone Group Plc,33.025,17137928440.75,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vod
69,SYMC,Symantec Corporation,24.53,16933328805.47,1989,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/symc
70,ATVI,"Activision Blizzard, Inc",23.39,16781905383.40,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
71,LMCA,Liberty Media Corporation,48.79,16734939994.15,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmca
72,LMCK,Liberty Media Corporation,48.79,16734939994.15,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmck
73,NXPI,NXP Semiconductors N.V.,69.98,16701957878.22,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/nxpi
